Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore,label
2024-03-10 21:00:00,69625.00,69946.80,69341.10,69401.2,4647.055,1710107999999,323610670.04570,7048,2337.448,163339059.67260,0,1
2024-03-10 22:00:00,69538.00,69934.80,69344.00,69403.6,4087.467,1710111599999,284496281.32370,6361,1787.199,124886352.12710,0,1
2024-03-10 23:00:00,69488.00,69934.70,69401.20,69899.0,4739.78,1710115199999,330019953.07840,5742,2313.006,161563114.47700,0,1
2024-03-11 00:00:00,69811.00,69900.00,69001.10,69265.0,6091.689,1710118799999,423421867.78980,3904,2168.892,151289564.15700,0,1
2024-03-11 01:00:00,69538.00,69624.00,68800.10,69056.3,3966.236,1710122399999,274529558.44660,5124,1983.117,137736214.52390,0,1
2024-03-11 02:00:00,69056.30,69438.00,68800.10,69129.0,3843.543,1710125999999,265431666.93450,4573,1921.314,133125094.82340,0,1
2024-03-11 03:00:00,69124.60,69440.00,68800.00,69440.0,3942.216,1710129599999,272095873.61830,3235,2066.574,142967948.25440,0,1
2024-03-11 04:00:00,69440.00,69625.00,68600.00,68993.0,4472.407,1710133199999,308952703.06270,5618,2256.689,156596945.83610,0,1
2024-03-11 05:00:00,69129.00,69743.40,68650.00,69265.0,3888.215,1710136799999,268837595.92870,6095,1915.875,133135197.51160,0,1
2024-03-11 06:00:00,69078.00,69615.30,68675.40,69100.0,3330.025,1710140399999,230199074.77750,4514,1659.835,115047998.39860,0,1
2024-03-11 07:00:00,69100.00,70950.00,68730.30,69999.9,5949.557,1710143999999,414733531.10470,5588,4024.347,280826226.31020,0,1
2024-03-11 08:00:00,70725.00,71900.00,69999.90,71174.0,5323.394,1710147599999,378506299.51660,5200,3154.791,225016454.24820,0,0
2024-03-11 09:00:00,71129.00,72345.00,70900.00,71547.0,9827.882,1710151199999,703409326.92730,8305,5699.219,409287713.00000,0,0
