Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore,SMA,RSI,Signal,TP/SP_values,Profit_per_Coin
2024-03-15 19:15:00,70768.40,70770.90,70400.00,70600.2,882.684,2024-03-15 19:29:59.999,62345023.21070,722,440.729,31170697.96520,0,72302.4805,47.96713812257839,Hold,0.0,0.0
2024-03-15 19:30:00,70600.20,70819.60,70600.00,70815.0,847.049,2024-03-15 19:44:59.999,59896823.54640,784,449.625,31838593.33020,0,72289.0555,57.163890678199934,Hold,0.0,0.0
2024-03-15 19:45:00,70815.00,70815.00,70286.70,70687.9,1530.369,2024-03-15 19:59:59.999,108025833.93530,750,748.664,52922609.36990,0,72275.545,65.46182622898982,Hold,0.0,0.0
2024-03-15 20:00:00,70687.90,70770.00,70062.50,70196.5,723.376,2024-03-15 20:14:59.999,50989098.38750,361,306.004,21619426.57760,0,72260.777,38.22578907680709,Hold,0.0,0.0
2024-03-15 20:15:00,70196.50,70769.80,70062.10,70342.7,1182.745,2024-03-15 20:29:59.999,83184284.55760,312,521.657,36808121.95350,0,72245.4905,50.394488930758186,Hold,0.0,0.0
2024-03-15 20:30:00,70342.70,70737.70,70264.10,70681.2,835.811,2024-03-15 20:44:59.999,58873351.86260,338,376.847,26593473.34660,0,72231.21650000001,57.933892550429455,Hold,0.0,0.0
2024-03-15 20:45:00,70681.20,70769.80,70264.20,70541.4,1077.418,2024-03-15 20:59:59.999,75936644.24810,362,539.713,38113443.57290,0,72215.7435,52.426385122045644,Hold,0.0,0.0
2024-03-15 21:00:00,70402.90,70769.80,70264.10,70264.6,937.914,2024-03-15 21:14:59.999,66136743.40400,334,482.775,34105090.19470,0,72200.7265,37.49503574265315,Hold,0.0,0.0
2024-03-15 21:15:00,70264.70,70769.80,70062.30,70367.5,1122.185,2024-03-15 21:29:59.999,78893593.86010,358,494.111,34807455.35010,0,72187.064,39.631778299851284,Hold,0.0,0.0
2024-03-15 21:30:00,70140.70,70769.80,70062.30,70279.5,1212.894,2024-03-15 21:44:59.999,85223881.10050,362,620.862,43714878.24450,0,72170.06850000001,37.51855287569572,Hold,0.0,0.0
2024-03-15 21:45:00,70737.70,70769.70,70103.10,70700.0,832.060,2024-03-15 21:59:59.999,58607022.21590,296,422.749,29893474.21780,0,72156.12550000001,48.19475479242609,Hold,0.0,0.0
2024-03-15 22:00:00,70600.00,70769.70,70103.20,70767.9,1080.354,2024-03-15 22:14:59.999,76097420.76440,444,544.222,38507754.15270,0,72142.215,49.47815116412428,Hold,0.0,0.0
2024-03-15 22:15:00,70120.00,70767.50,70103.80,70104.2,845.456,2024-03-15 22:29:59.999,59538132.91840,316,421.795,29834812.85730,0,72126.469,39.401709401709226,Hold,0.0,0.0
2024-03-15 22:30:00,70660.00,70766.80,70104.10,70120.0,1095.987,2024-03-15 22:44:59.999,77164965.70980,367,510.209,36097746.07340,0,72108.319,40.06009320578859,Hold,0.0,0.0
2024-03-15 22:45:00,70120.00,70766.00,70104.50,70174.5,881.494,2024-03-15 22:59:59.999,62109294.35690,427,453.646,32099672.43660,0,72091.37150000001,43.238349375774334,Hold,0.0,0.0
2024-03-15 23:00:00,70759.50,70759.90,70105.20,70123.0,1034.452,2024-03-15 23:14:59.999,72866013.25300,279,508.101,35953027.88850,0,72073.7365,38.40715673792124,Hold,0.0,0.0
2024-03-15 23:15:00,70123.10,70759.50,70123.10,70755.8,706.356,2024-03-15 23:29:59.999,49790036.08700,279,370.880,26242263.91780,0,72060.8995,50.972695756811866,Hold,0.0,0.0
2024-03-15 23:30:00,70755.00,70819.60,70399.20,70819.6,1571.014,2024-03-15 23:44:59.999,111069976.23180,312,1148.887,81329403.80110,0,72046.4975,60.17239690469209,Hold,0.0,0.0
2024-03-15 23:45:00,70819.60,71000.00,70342.90,71000.0,1197.026,2024-03-15 23:59:59.999,84624722.91470,396,617.700,43812764.87720,0,72032.9975,60.612225128354275,Hold,0.0,0.0
2024-03-16 00:00:00,71000.00,71000.00,70286.60,70999.2,938.430,2024-03-16 00:14:59.999,66289737.53790,314,471.371,33457780.43140,0,72020.17349999999,55.76253986662805,Hold,0.0,0.0
2024-03-16 00:15:00,70288.00,70999.80,70288.00,70288.8,665.881,2024-03-16 00:29:59.999,47043276.18310,333,331.830,23558677.43020,0,72002.457,46.20697939816215,Hold,0.0,0.0
2024-03-16 00:30:00,70288.80,70999.80,70288.00,70999.5,1060.870,2024-03-16 00:44:59.999,74963136.90460,410,558.683,39663802.05630,0,71989.6345,59.7629991763424,Hold,0.0,0.0
2024-03-16 00:45:00,70999.50,70999.80,70288.50,70999.5,1050.191,2024-03-16 00:59:59.999,74199429.31030,378,540.537,38375057.30590,0,71977.957,58.631993006993035,Hold,0.0,0.0
2024-03-16 01:00:00,70999.50,70999.80,70289.00,70998.0,704.980,2024-03-16 01:14:59.999,49802284.51010,255,343.467,24386002.75200,0,71966.197,60.05091906107493,Hold,0.0,0.0
2024-03-16 01:15:00,70998.00,70999.80,70289.60,70291.2,1464.665,2024-03-16 01:29:59.999,103455036.25020,416,723.034,51325173.15260,0,71950.887,44.705486193855826,Hold,0.0,0.0
2024-03-16 01:30:00,70990.00,70999.60,70291.30,70291.7,1362.692,2024-03-16 01:44:59.999,96266821.40930,414,680.916,48343669.28940,0,71935.5705,43.72297796056103,Hold,0.0,0.0
2024-03-16 01:45:00,70999.30,70999.30,70291.80,70294.7,1198.428,2024-03-16 01:59:59.999,84655337.36130,279,581.972,41318696.30630,0,71920.219,53.04070231444533,Hold,0.0,0.0
2024-03-16 02:00:00,70294.70,70998.00,70294.70,70305.8,616.392,2024-03-16 02:14:59.999,43539971.82250,221,296.588,21056984.68100,0,71904.0665,52.97013875567495,Hold,0.0,0.0
2024-03-16 02:15:00,70305.80,70997.30,70305.80,70996.0,857.193,2024-03-16 02:29:59.999,60559911.57960,225,426.143,30254493.44570,0,71891.14649999999,60.91404277932775,Hold,0.0,0.0
2024-03-16 02:30:00,70996.00,70996.00,70306.10,70995.2,747.657,2024-03-16 02:44:59.999,52828808.76680,235,382.889,27183351.27640,0,71878.7455,61.74585218702861,Hold,0.0,0.0
2024-03-16 02:45:00,70306.50,70995.20,70103.10,70141.0,2237.127,2024-03-16 02:59:59.999,157447499.11550,258,460.724,32691844.36070,0,71862.26150000001,42.186467388541466,Hold,0.0,0.0
